PVSYST 7.2.12;;;;;;
;File;File date;Description;;;
Projet;SE60_Ombrière Couloisy_Project.PRJ;18/03/22 10h17;SE60_Ombrière Couloisy;;;
Site géographique;Couloisy_PVGIS_SARAH_2005 à 2016.SIT;18/03/22 10h17;Couloisy;France;Europe;
Données météo;Couloisy_PVGIS_SARAH_SYN.MET;18/03/22 10h10;Couloisy;PVGIS-SARAH averages 01/01/05 to 31/12/16;Synthétique;
Variante de simulation;SE60_Ombrière Couloisy_Project.VC0;18/03/22 10h32;Nouvelle variante de simulation;;;
Simulation date;;18/03/22 10h45;;;;
;;;;;;
Simulation:;Valeurs horaires; du 01/01/90; au 31/12/90 ;;;
;;;;;;
date;GlobInc;GlobEff;EArray;E_Grid;PR;
    ;W/m²;W/m²;kW;kW;ratio;
;;;;;;
01/01/1990 00:00;0;0;0;-0,005;1;
01/01/1990 01:00;0;0;0;-0,005;1;0
01/01/1990 02:00;0;0;0;-0,005;1;0
01/01/1990 03:00;0;0;0;-0,005;1;0
01/01/1990 04:00;0;0;0;-0,005;1;0
01/01/1990 05:00;0;0;0;-0,005;1;0
01/01/1990 06:00;0;0;0;-0,005;1;0
01/01/1990 07:00;0;0;0;-0,005;1;0
01/01/1990 08:00;0;0;0;-0,005;1;0
01/01/1990 09:00;22,902;21,893;1,0376;0,8704;0,6961;0
01/01/1990 10:00;30,469;29,296;1,417;1,2466;0,7494;0
01/01/1990 11:00;72,969;69,603;3,5193;3,3297;0,8357;0
01/01/1990 12:00;119,82;114,09;5,8514;5,6307;0,8607;0
01/01/1990 13:00;109,22;104,05;5,3139;5,1039;0,8558;0
01/01/1990 14:00;189,68;173,39;8,9335;8,6481;0,835;0
01/01/1990 15:00;57,107;54,036;2,6844;2,5027;0,8027;0
01/01/1990 16:00;0;0;0;-0,005;1;0
01/01/1990 17:00;0;0;0;-0,005;1;0
01/01/1990 18:00;0;0;0;-0,005;1;0
01/01/1990 19:00;0;0;0;-0,005;1;0
01/01/1990 20:00;0;0;0;-0,005;1;0
01/01/1990 21:00;0;0;0;-0,005;1;0
01/01/1990 22:00;0;0;0;-0,005;1;0
01/01/1990 23:00;0;0;0;-0,005;1;0
02/01/1990 00:00;0;0;0;-0,005;1;0
02/01/1990 01:00;0;0;0;-0,005;1;0
02/01/1990 02:00;0;0;0;-0,005;1;0
02/01/1990 03:00;0;0;0;-0,005;1;0
02/01/1990 04:00;0;0;0;-0,005;1;0
02/01/1990 05:00;0;0;0;-0,005;1;0
02/01/1990 06:00;0;0;0;-0,005;1;0
02/01/1990 07:00;0;0;0;-0,005;1;0
02/01/1990 08:00;0;0;0;-0,005;1;0
02/01/1990 09:00;32,224;30,14;1,4804;1,3095;0,7443;0
02/01/1990 10:00;58,849;55,918;2,8398;2,6567;0,8268;0
02/01/1990 11:00;92,122;87,658;4,5273;4,3275;0,8604;0
02/01/1990 12:00;122,48;116,56;6,0639;5,8389;0,8731;0
02/01/1990 13:00;76,084;72,656;3,7216;3,53;0,8497;0
02/01/1990 14:00;55,397;52,939;2,6752;2,4937;0,8244;0
02/01/1990 15:00;40,108;38,318;1,9048;1,7302;0,7901;0
02/01/1990 16:00;0;0;0;-0,005;1;0
02/01/1990 17:00;0;0;0;-0,005;1;0
02/01/1990 18:00;0;0;0;-0,005;1;0
02/01/1990 19:00;0;0;0;-0,005;1;0
02/01/1990 20:00;0;0;0;-0,005;1;0
02/01/1990 21:00;0;0;0;-0,005;1;0
02/01/1990 22:00;0;0;0;-0,005;1;0
02/01/1990 23:00;0;0;0;-0,005;1;0
03/01/1990 00:00;0;0;0;-0,005;1;0
03/01/1990 01:00;0;0;0;-0,005;1;0
03/01/1990 02:00;0;0;0;-0,005;1;0
03/01/1990 03:00;0;0;0;-0,005;1;0
03/01/1990 04:00;0;0;0;-0,005;1;0
03/01/1990 05:00;0;0;0;-0,005;1;0
03/01/1990 06:00;0;0;0;-0,005;1;0
03/01/1990 07:00;0;0;0;-0,005;1;0
03/01/1990 08:00;0;0;0;-0,005;1;0
03/01/1990 09:00;28,571;26,961;1,3082;1,1388;0,73;0
03/01/1990 10:00;58,106;55,235;2,7856;2,603;0,8205;0
03/01/1990 11:00;78,718;75,038;3,824;3,6313;0,8449;0
03/01/1990 12:00;76,844;73,39;3,7305;3,5388;0,8434;0
03/01/1990 13:00;93,133;88,84;4,54;4,3401;0,8535;0
03/01/1990 14:00;82,113;78,179;3,973;3,7789;0,8429;0
03/01/1990 15:00;48,458;46,105;2,2883;2,1102;0,7976;0
03/01/1990 16:00;0;0;0;-0,005;1;0
03/01/1990 17:00;0;0;0;-0,005;1;0
03/01/1990 18:00;0;0;0;-0,005;1;0
03/01/1990 19:00;0;0;0;-0,005;1;0
03/01/1990 20:00;0;0;0;-0,005;1;0
03/01/1990 21:00;0;0;0;-0,005;1;0
03/01/1990 22:00;0;0;0;-0,005;1;0
03/01/1990 23:00;0;0;0;-0,005;1;0
04/01/1990 00:00;0;0;0;-0,005;1;0
04/01/1990 01:00;0;0;0;-0,005;1;0
04/01/1990 02:00;0;0;0;-0,005;1;0
04/01/1990 03:00;0;0;0;-0,005;1;0
04/01/1990 04:00;0;0;0;-0,005;1;0
04/01/1990 05:00;0;0;0;-0,005;1;0
04/01/1990 06:00;0;0;0;-0,005;1;0
04/01/1990 07:00;0;0;0;-0,005;1;0
04/01/1990 08:00;0;0;0;-0,005;1;0
04/01/1990 09:00;35,628;31,877;1,5787;1,407;0,7233;0
04/01/1990 10:00;88,442;81,53;4,2187;4,0222;0,8329;0
04/01/1990 11:00;143,52;134,26;7,0313;6,7864;0,866;0
04/01/1990 12:00;160,68;151,86;7,9575;7,6931;0,8769;0
04/01/1990 13:00;157,88;149,14;7,8034;7,5423;0,875;0
04/01/1990 14:00;90,196;85,795;4,4241;4,2254;0,858;0
04/01/1990 15:00;43,496;41,504;2,0741;1,898;0,7992;0
04/01/1990 16:00;0;0;0;-0,005;1;0
04/01/1990 17:00;0;0;0;-0,005;1;0
04/01/1990 18:00;0;0;0;-0,005;1;0
04/01/1990 19:00;0;0;0;-0,005;1;0
04/01/1990 20:00;0;0;0;-0,005;1;0
04/01/1990 21:00;0;0;0;-0,005;1;0
04/01/1990 22:00;0;0;0;-0,005;1;0
04/01/1990 23:00;0;0;0;-0,005;1;0
05/01/1990 00:00;0;0;0;-0,005;1;0
05/01/1990 01:00;0;0;0;-0,005;1;0
05/01/1990 02:00;0;0;0;-0,005;1;0
05/01/1990 03:00;0;0;0;-0,005;1;0
05/01/1990 04:00;0;0;0;-0,005;1;0
05/01/1990 05:00;0;0;0;-0,005;1;0
05/01/1990 06:00;0;0;0;-0,005;1;0
05/01/1990 07:00;0;0;0;-0,005;1;0
05/01/1990 08:00;0;0;0;-0,005;1;0
05/01/1990 09:00;61,469;46,16;2,3652;2,1865;0,6515;0
05/01/1990 10:00;142,92;122,65;6,486;6,2524;0,8013;0
05/01/1990 11:00;224,55;203,93;10,808;10,477;0,8545;0
05/01/1990 12:00;283,51;262,64;13,854;13,435;0,8679;0
05/01/1990 13:00;247,97;230,82;12,154;11,783;0,8703;0
05/01/1990 14:00;289,28;261,13;13,717;13,302;0,8421;0
05/01/1990 15:00;178,3;149,56;7,8304;7,5687;0,7775;0
05/01/1990 16:00;20,166;19,137;0,9087;0,7426;0,6744;0
05/01/1990 17:00;0;0;0;-0,005;1;0
05/01/1990 18:00;0;0;0;-0,005;1;0
05/01/1990 19:00;0;0;0;-0,005;1;0
05/01/1990 20:00;0;0;0;-0,005;1;0
05/01/1990 21:00;0;0;0;-0,005;1;0
05/01/1990 22:00;0;0;0;-0,005;1;0
05/01/1990 23:00;0;0;0;-0,005;1;0
06/01/1990 00:00;0;0;0;-0,005;1;0
06/01/1990 01:00;0;0;0;-0,005;1;0
06/01/1990 02:00;0;0;0;-0,005;1;0
06/01/1990 03:00;0;0;0;-0,005;1;0
06/01/1990 04:00;0;0;0;-0,005;1;0
06/01/1990 05:00;0;0;0;-0,005;1;0
06/01/1990 06:00;0;0;0;-0,005;1;0
06/01/1990 07:00;0;0;0;-0,005;1;0
06/01/1990 08:00;0;0;0;-0,005;1;0
06/01/1990 09:00;8,9442;8,8553;0,3933;0,2314;0,4739;0
06/01/1990 10:00;13,319;12,896;0,6008;0,4373;0,6014;0
06/01/1990 11:00;29,613;28,411;1,4175;1,2471;0,7713;0
06/01/1990 12:00;29,988;28,727;1,4338;1,2633;0,7715;0
06/01/1990 13:00;249,36;232,89;12,445;12,066;0,8862;0
06/01/1990 14:00;221,6;201,37;10,728;10,4;0,8595;0
06/01/1990 15:00;155,56;133,82;7,0829;6,837;0,805;0
06/01/1990 16:00;12,155;11,848;0,5424;0,3793;0,5716;0
06/01/1990 17:00;0;0;0;-0,005;1;0
06/01/1990 18:00;0;0;0;-0,005;1;0
06/01/1990 19:00;0;0;0;-0,005;1;0
06/01/1990 20:00;0;0;0;-0,005;1;0
06/01/1990 21:00;0;0;0;-0,005;1;0
06/01/1990 22:00;0;0;0;-0,005;1;0
06/01/1990 23:00;0;0;0;-0,005;1;0
07/01/1990 00:00;0;0;0;-0,005;1;0
07/01/1990 01:00;0;0;0;-0,005;1;0
07/01/1990 02:00;0;0;0;-0,005;1;0
07/01/1990 03:00;0;0;0;-0,005;1;0
07/01/1990 04:00;0;0;0;-0,005;1;0
07/01/1990 05:00;0;0;0;-0,005;1;0
07/01/1990 06:00;0;0;0;-0,005;1;0
07/01/1990 07:00;0;0;0;-0,005;1;0
07/01/1990 08:00;0;0;0;-0,005;1;0
07/01/1990 09:00;0;0;0;-0,005;1;0
07/01/1990 10:00;14,014;13,563;0,6349;0,4711;0,6157;0
07/01/1990 11:00;21,211;20,37;0,9896;0,8229;0,7105;0
07/01/1990 12:00;24,849;23,81;1,1703;1,0021;0,7386;0
07/01/1990 13:00;257,24;240,32;12,798;12,408;0,8835;0
07/01/1990 14:00;233,07;212,18;11,256;10,912;0,8575;0
07/01/1990 15:00;114,27;101,08;5,2876;5,0781;0,8139;0
07/01/1990 16:00;10,15;9,9575;0,4438;0,2816;0,5081;0
07/01/1990 17:00;0;0;0;-0,005;1;0
07/01/1990 18:00;0;0;0;-0,005;1;0
07/01/1990 19:00;0;0;0;-0,005;1;0
07/01/1990 20:00;0;0;0;-0,005;1;0
07/01/1990 21:00;0;0;0;-0,005;1;0
07/01/1990 22:00;0;0;0;-0,005;1;0
07/01/1990 23:00;0;0;0;-0,005;1;0
08/01/1990 00:00;0;0;0;-0,005;1;0
08/01/1990 01:00;0;0;0;-0,005;1;0
08/01/1990 02:00;0;0;0;-0,005;1;0
08/01/1990 03:00;0;0;0;-0,005;1;0
08/01/1990 04:00;0;0;0;-0,005;1;0
08/01/1990 05:00;0;0;0;-0,005;1;0
08/01/1990 06:00;0;0;0;-0,005;1;0
08/01/1990 07:00;0;0;0;-0,005;1;0
08/01/1990 08:00;0;0;0;-0,005;1;0
